username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Flash Technology,flashtechnology,12/21/2017 10:05,1,4,One of the real joys of the holiday season is to say thank you and to wish you a New Year filled with peace and happiness. # happyholidays # merrychristmas # happynewyearpic.twitter.com/68TUOYTpnO,,,# # #,9.44E+17,https://twitter.com/flashtechnology/status/943859899364204544
Flash Technology,flashtechnology,1/3/2018 10:45,1,4,Happy # workanniversary to these great guys. Thank you for being integral parts of the Flash # workfamily for all these years! Kevin Kennemer – 20 years |Freddy Camacho – 15 years |Steve Slack – 12 yearspic.twitter.com/7U1iOVPd4e,,,# #,9.49E+17,https://twitter.com/flashtechnology/status/948580988271104002
Flash Technology,flashtechnology,11/30/2017 10:35,1,4,Don't get stuck on site. Enroll in our new VIP or TLC # obstructionlight maintenance programs. http://ow.ly/fOSY30gRR96 # towerlighting # windturbine # celltowerpic.twitter.com/jFHDpedZAB,,,# # # #,9.36E+17,https://twitter.com/flashtechnology/status/936257288351944705
Flash Technology,flashtechnology,9/14/2017 10:25,1,4,Thanks to all of you that were able to stop by our client appreciation event at # MWCA17 Tuesday evening!pic.twitter.com/UnhufzauE2,,,#,9.08E+17,https://twitter.com/flashtechnology/status/908335822977552384
Flash Technology,flashtechnology,11/30/2017 10:35,1,4,Don't get stuck on site. Enroll in our new VIP or TLC # obstructionlight maintenance programs. http://ow.ly/fOSY30gRR96 # towerlighting # windturbine # celltowerpic.twitter.com/jFHDpedZAB,,,# # # #,9.36E+17,https://twitter.com/flashtechnology/status/936257288351944705
Sioux Falls Tower,SiouxFallsTower,7/11/2018 17:30,1,4,"Great to have our friends from Flash Technology at our new office and training center this afternoon. Always good to have folks drop by! PC: Connor Costello, Craig Snyder, Wade Collins # SFTower2018 # FlashTechnology pic.twitter.com/RHGTmzelqm",,,# #,1.02E+18,https://twitter.com/SiouxFallsTower/status/1017159302090551297
Flash Technology,flashtechnology,7/12/2018 10:31,0,4,"Thank you, Craig ( @ SiouxFallsTower), for giving Connor and Wade a tour of your corporate office and new state-of-the-art training center. Amazing! # towerclimber # towersafetypic.twitter.com/LHeQI0pYKX",,@,# #,1.02E+18,https://twitter.com/flashtechnology/status/1017416185015513088
Flash Technology,flashtechnology,4/6/2018 13:03,0,4,Wade and Amanda enjoyed @ talking_stickgc with @AZWirelessAssocand @ CrownCastle yesterday. The 11th annual charity # golftournament benefits @ DSNetworkAZ # givebackpic.twitter.com/zusfr2lTFk,,@ @AZWirelessAssocand @ @,# #,9.82E+17,https://twitter.com/flashtechnology/status/982302726389248000
Flash Technology,flashtechnology,2/15/2018 11:23,0,4,"Vanguard Medium FTS 370d is ready for # nateunite2018, as are Jared, Jason, Brooke and the rest of the team. Be sure to stop by booth 302 for a FREE moisture-wicking Flash crewneck! (First-come, first-served. While quantities last.) # nate # nateunitepic.twitter.com/aWwMi5DEE8",,,# # #,9.64E+17,https://twitter.com/flashtechnology/status/964173368399450113
Flash Technology,flashtechnology,10/24/2017 11:03,0,4,"Flash and friends at the AOWA 12th annual charity event last week, benefiting @ FoldsofHonor # flashabout # giveback # wirelesspic.twitter.com/WCabDTqrLa",,@,# # #,9.23E+17,https://twitter.com/flashtechnology/status/922841077488402432
Flash Technology,flashtechnology,7/12/2018 10:31,0,4,"Thank you, Craig ( @ SiouxFallsTower), for giving Connor and Wade a tour of your corporate office and new state-of-the-art training center. Amazing! # towerclimber # towersafetypic.twitter.com/LHeQI0pYKX",,@,# #,1.02E+18,https://twitter.com/flashtechnology/status/1017416185015513088
Emily Dresch,DreschEmily,10/2/2015 12:25,3,3,# MFGDay15 learning about tower lighting at Flash Technology @ williamson_incpic.twitter.com/lGztSMDzGa,,@,#,6.50E+17,https://twitter.com/DreschEmily/status/649983660754632705
Emily Dresch,DreschEmily,10/2/2015 12:25,3,3,# MFGDay15 learning about tower lighting at Flash Technology @ williamson_incpic.twitter.com/lGztSMDzGa,,@,#,6.50E+17,https://twitter.com/DreschEmily/status/649983660754632705
Cardwave,cardwave_svs,10/6/2014 6:55,3,3,Cardwave - making flash technology work for you - a light-hearted video: http://youtu.be/z26AsRTKjD4 via @ YouTube # video # flashtechnology,,@,# #,5.19E+17,https://twitter.com/cardwave_svs/status/519078384245014532
Flash Technology,flashtechnology,1/11/2018 10:00,2,3,"Ensuring your towers comply with FAA regs can be confusing. To help, we've launched a new lighting finder tool. Use your FCC Antenna Structure Registration info to find discover which Flash # obstructionlighting products may be appropriate for your site! http://ow.ly/Ik2i30hFJxF pic.twitter.com/J5suA76kw8",,,#,9.51E+17,https://twitter.com/flashtechnology/status/951468967260049409
Flash Technology,flashtechnology,6/3/2017 13:48,2,3,Flash's lone @ penguins fan tries to score on our @ PredsNHL goalie. Looking forward to home ice tonight! # StandWithUs # PitvsNsh # GoPredspic.twitter.com/eOLWKJOVDm,,@ @,# # #,8.71E+17,https://twitter.com/flashtechnology/status/871060944696332290
Flash Technology,flashtechnology,5/2/2017 8:30,2,3,Don't forget to sign up for Thursday's # faalighting webinar! FREE for @ UTCNow members! (Reg works on desktop only.) http://ow.ly/tKSG30bhd4H pic.twitter.com/y1sc2n7DPF,,@,#,8.59E+17,https://twitter.com/flashtechnology/status/859384659523899393
Flash Technology,flashtechnology,4/18/2018 11:18,1,3,"Today is the last day of @ STAC_CSPA exhibits. Gary and Stewart ( @ CarmanahTech) are in booth #17, ready to discuss all your # CAR621 # obstaclelight needs. # STAC2018pic.twitter.com/crZsVgTCzs",,@ @,#17 # # #,9.87E+17,https://twitter.com/flashtechnology/status/986625034721558529
Flash Technology,flashtechnology,1/24/2018 15:04,1,3,"Last week, Flash joined @ CTI_Towers in the fanboni at the @ NEIAWireless “Crash the Glass” winter # fundraiser in Des Moines, IA. Benefitting @ ProjectHarmony2, an Omaha-based nonprofit encourages families to make proactive choices in protecting and safeguarding children.pic.twitter.com/BAZRihK0nG",,@ @ @,#,9.56E+17,https://twitter.com/flashtechnology/status/956256289570648065
